date,condition,plot_condition,movie,n_tracks,mean_log10_d_eff_um2_s,mean_fast_component_posterior,hard_fast_component_fraction,threshold_fast_fraction
2025-11-17,noSBA_NAI,+ NAI,100XIAV020,38,-3.33995324680953,0.1727177425702217,0.18421052631578946,0.18421052631578946
2025-11-17,noSBA_NAI,+ NAI,100XIAV021,13,-2.4979142155580076,0.5439268868135464,0.5384615384615384,0.5384615384615384
2025-11-17,noSBA_NAI,+ NAI,100XIAV022,17,-3.4093103939541853,0.15256144105874053,0.11764705882352941,0.11764705882352941
2025-11-17,noSBA_NAI,+ NAI,100XIAV023,13,-2.4550127390319227,0.5564197301291528,0.5384615384615384,0.5384615384615384
2025-11-17,noSBA_noNAI,- NAI,100XIAV001,2,-2.4415349203959735,0.5007490204847173,0.5,0.5
2025-11-17,noSBA_noNAI,- NAI,100XIAV002,2,-1.1516230330650943,0.9995802941837649,1.0,1.0
2025-11-17,noSBA_noNAI,- NAI,100XIAV003,5,-1.8218542517672074,0.7996142505795856,0.8,0.8
2025-11-17,noSBA_noNAI,- NAI,100XIAV004,1,-2.286094037864665,0.90161771165974,1.0,1.0
2025-11-17,noSBA_noNAI,- NAI,100XIAV005,3,-1.6041996873041589,0.9951676146513382,1.0,1.0
2025-11-17,noSBA_noNAI,- NAI,100XIAV031,3,-2.5118384079302154,0.5663758084860376,0.6666666666666666,0.6666666666666666
2025-11-17,noSBA_noNAI,- NAI,100XIAV032,16,-2.7105000990708006,0.5406063680839299,0.5625,0.5625
2025-11-17,noSBA_noNAI,- NAI,100XIAV033,3,-2.0649833448374473,0.7117099344400404,0.6666666666666666,0.6666666666666666
2025-11-17,noSBA_noNAI,- NAI,100XIAV034,8,-2.4050998448175864,0.5095920306677479,0.5,0.5
2025-11-24,noSBA_NAI,+ NAI,100XIAV036,103,-3.248750148661794,0.221787726801216,0.23300970873786409,0.23300970873786409
2025-11-24,noSBA_NAI,+ NAI,100XIAV037,148,-3.292137960862893,0.244329392971512,0.22972972972972974,0.22972972972972974
2025-11-24,noSBA_NAI,+ NAI,100XIAV038,76,-3.1951992025273146,0.241078047752095,0.23684210526315788,0.23684210526315788
2025-11-24,noSBA_noNAI,- NAI,100XIAV045,62,-2.9595292874347807,0.37565971345739557,0.3870967741935484,0.3870967741935484
2025-11-24,noSBA_noNAI,- NAI,100XIAV046,15,-2.602918974867216,0.5324066975751006,0.5333333333333333,0.5333333333333333
2025-11-24,noSBA_noNAI,- NAI,100XIAV047,19,-2.832962250924976,0.4561912507171771,0.47368421052631576,0.47368421052631576
2025-11-24,noSBA_noNAI,- NAI,100XIAV048,17,-2.9666367727121163,0.31237508026137845,0.29411764705882354,0.29411764705882354
2025-11-24,noSBA_noNAI,- NAI,100XIAV049,9,-2.920482112285176,0.3389541278035704,0.3333333333333333,0.3333333333333333
2025-12-03,noSBA_NAI,+ NAI,100XIAV054,18,-3.3695162128458813,0.13579833989801335,0.1111111111111111,0.1111111111111111
2025-12-03,noSBA_NAI,+ NAI,100XIAV055,79,-3.0794986438285497,0.31226440448868453,0.3291139240506329,0.3291139240506329
2025-12-03,noSBA_NAI,+ NAI,100XIAV056,65,-3.2208980741555933,0.27271694106905253,0.26153846153846155,0.26153846153846155
2025-12-03,noSBA_NAI,+ NAI,100XIAV057,36,-3.163686524052037,0.2702693490650393,0.25,0.25
2025-12-03,noSBA_noNAI,- NAI,100XIAV058,11,-2.65892375384059,0.4757062336388557,0.45454545454545453,0.45454545454545453
2025-12-03,noSBA_noNAI,- NAI,100XIAV059,4,-2.3928424053085164,0.5270289167139786,0.5,0.5
