architecture,phi_index,chi_C_index,allocation_index,phi_b,chi_C,allocation_fraction,N_b,K_D,K_C,exact_CI_path,interpolated_CI_path,absolute_interpolation_difference
polarized,29,89,45,0.01552103378939513,2.5,0.703125,14.014031138124533,245.81544899168313,8.3528667044109,0.12593391866562526,0.1259339153766632,3.2889620471543424e-09
polarized,30,88,44,0.016529693630868966,2.289606806346718,0.6875,13.715810585192934,225.45268723282416,7.286880312524801,0.12624352775289824,0.12624353170394897,3.951050736583639e-09
polarized,30,88,45,0.016529693630868966,2.289606806346718,0.703125,14.020020055933287,230.5766119426611,7.65757352955154,0.12635803797503678,0.1263580322265625,5.748474279920757e-09
polarized,30,88,46,0.016529693630868966,2.289606806346718,0.71875,14.32422952667364,235.700536652498,8.068003514613105,0.12623599730072177,0.1262359917163849,5.5843368818031536e-09
polarized,30,89,44,0.016529693630868966,2.5,0.6875,13.715810585192934,225.45268723282416,7.956475640627244,0.1265185218301281,0.12651851773262024,4.097507860789662e-09
polarized,30,89,45,0.016529693630868966,2.5,0.703125,14.020020055933287,230.5766119426611,8.36123205557062,0.1266113528732598,0.1266113519668579,9.064018979820787e-10
polarized,30,89,46,0.016529693630868966,2.5,0.71875,14.32422952667364,235.700536652498,8.80937667141019,0.1264629958734648,0.12646299600601196,1.325471676860701e-10
polarized,30,89,47,0.016529693630868966,2.5,0.734375,14.628438997413994,240.82446136233492,9.308281145076586,0.1260962928707376,0.12609629333019257,4.5945497406663094e-10
polarized,31,88,45,0.01760390288674439,2.289606806346718,0.703125,14.026398173390044,216.26766526579965,7.665749652571267,0.12662688183349302,0.1266268789768219,2.85667112187582e-09
polarized,31,88,46,0.01760390288674439,2.289606806346718,0.71875,14.330271953737936,221.07361338281743,8.076601867548865,0.12665206115022798,0.1266520619392395,7.890115227837668e-10
polarized,31,89,44,0.01760390288674439,2.5,0.6875,13.722524393042152,211.4617171487819,7.964985151767191,0.12665493188006874,0.12665493786334991,5.98328117606961e-09
polarized,31,89,45,0.01760390288674439,2.5,0.703125,14.026398173390044,216.26766526579965,8.370159486906278,0.12690319292828572,0.12690319120883942,1.7194463075576039e-09
polarized,31,89,46,0.01760390288674439,2.5,0.71875,14.330271953737936,221.07361338281743,8.818765131594624,0.12690380329764112,0.12690380215644836,1.1411927514082265e-09
polarized,31,89,47,0.01760390288674439,2.5,0.734375,14.634145734085829,225.8795614998352,9.318180763428092,0.12667749370340167,0.1266774982213974,4.517995727537638e-09
polarized,32,89,45,0.018747921393243407,2.5,0.703125,14.033190783272383,202.83186604157993,8.37968806842823,0.12681307800145902,0.12681308388710022,5.8856411966345945e-09
polarized,32,89,46,0.018747921393243407,2.5,0.71875,14.336707057836994,207.3392408425039,8.828785745436521,0.12695778124447418,0.12695777416229248,7.08218170220043e-09
mixed,35,0,61,0.022645692376972237,0.001,0.953125,18.893105336603412,226.7120669710812,0.018068566649900114,0.10325671600128851,0.1032567173242569,1.3229683876181397e-09
mixed,35,1,61,0.022645692376972237,0.0010918905346848542,0.953125,18.893105336603412,226.7120669710812,0.01972889690034836,0.1032567150792019,0.1032567098736763,5.205525593909854e-09
mixed,35,2,61,0.022645692376972237,0.0011922249397343769,0.953125,18.893105336603412,226.7120669710812,0.021541795785263735,0.10325671407250474,0.1032567098736763,4.198828437718127e-09
mixed,35,3,61,0.022645692376972237,0.0013017791269111872,0.953125,18.893105336603412,226.7120669710812,0.023521282918043566,0.10325671297344116,0.1032567098736763,3.099764861458354e-09
mixed,35,4,61,0.022645692376972237,0.0014214003069246389,0.953125,18.893105336603412,226.7120669710812,0.025682666181856315,0.10325671177354237,0.1032567098736763,1.899866070020906e-09
mixed,35,5,61,0.022645692376972237,0.0015520135411291583,0.953125,18.893105336603412,226.7120669710812,0.028042660109439687,0.10325671046356426,0.1032567098736763,5.898879579246952e-10
mixed,35,6,61,0.022645692376972237,0.0016946288952616507,0.953125,18.893105336603412,226.7120669710812,0.030619515140881733,0.10325670903341769,0.1032567098736763,8.402586126887712e-10
mixed,35,7,61,0.022645692376972237,0.0018503492505396477,0.953125,18.893105336603412,226.7120669710812,0.03343315875896835,0.10325670747208807,0.1032567024230957,5.0489923630880895e-09
mixed,35,8,61,0.022645692376972237,0.0020203788325254554,0.953125,18.893105336603412,226.7120669710812,0.03650534959353357,0.10325670576755515,0.1032567024230957,3.3444594454978827e-09
mixed,35,9,61,0.022645692376972237,0.002206032523712181,0.953125,18.893105336603412,226.7120669710812,0.03985984568654089,0.1032567039066975,0.1032567024230957,1.4836017969699355e-09
mixed,35,10,61,0.022645692376972237,0.002408746031848272,0.953125,18.893105336603412,226.7120669710812,0.04352258821913292,0.103256701875193,0.1032567024230957,5.479027093135969e-10
mixed,35,11,61,0.022645692376972237,0.002630086992634831,0.953125,18.893105336603412,226.7120669710812,0.047521902121457786,0.10325669965741063,0.1032566949725151,4.684895527073962e-09
mixed,35,12,61,0.022645692376972237,0.002871767092655723,0.953125,18.893105336603412,226.7120669710812,0.0518887151166398,0.10325669723628936,0.1032566949725151,2.2637742513875736e-09
mixed,35,13,61,0.022645692376972237,0.0031356553062902265,0.953125,18.893105336603412,226.7120669710812,0.056656796892817905,0.10325669459320741,0.1032566949725151,3.7930769636318473e-10
mixed,35,14,61,0.022645692376972237,0.003423792348972636,0.953125,18.893105336603412,226.7120669710812,0.06186302025283014,0.10325669170784148,0.10325668752193451,4.185906968268149e-09
mixed,35,15,61,0.022645692376972237,0.0037384064585696446,0.953125,18.893105336603412,226.7120669710812,0.06754764626108267,0.10325668855801308,0.10325668752193451,1.0360785701601927e-09
