architecture,K_C,K_D,n_binders,n_trajectories,detached_fraction,median_path_in_persistence_lengths,recurrence_range_screen,finite_time_free_range,included_in_repeated_return_comparison
mixed,0.0,1.0,4,64,0.0,inf,209.39786511554263,209.39786511554263,False
mixed,0.0,10.0,4,64,0.0,inf,496.58409003384173,496.58409003384173,False
mixed,0.0,50.0,4,64,0.0,inf,307.9824597805513,307.9824597805513,False
mixed,0.0,100.0,4,64,0.0,inf,177.4481952992177,177.4481952992177,False
mixed,0.0,200.0,4,64,0.0,inf,93.97861087327736,93.97861087327736,False
mixed,0.0,1000.0,4,128,0.0,inf,19.48902088948696,19.48902088948696,False
mixed,0.0,1.0,10,64,0.0,inf,136.4038239097235,136.4038239097235,False
mixed,0.0,10.0,10,64,0.0,inf,421.9121684220962,421.9121684220962,False
mixed,0.0,50.0,10,64,0.0,inf,418.7924692118201,418.7924692118201,False
mixed,0.0,100.0,10,64,0.0,inf,266.91092652927324,266.91092652927324,False
mixed,0.0,200.0,10,64,0.0,inf,146.52216957166152,146.52216957166152,False
mixed,0.0,1000.0,10,128,0.0,inf,30.79622684779759,30.79622684779759,False
mixed,0.0,1.0,16,64,0.0,inf,108.65433665837833,108.65433665837833,False
mixed,0.0,10.0,16,64,0.0,inf,366.0439779011186,366.0439779011186,False
mixed,0.0,50.0,16,64,0.0,inf,466.1361467845837,466.1361467845837,False
mixed,0.0,100.0,16,64,0.0,inf,322.10651288588974,322.10651288588974,False
mixed,0.0,200.0,16,64,0.0,inf,182.79806013316752,182.79806013316752,False
mixed,0.0,1000.0,16,128,0.0,inf,38.93096621936715,38.93096621936715,False
mixed,0.1,1.0,4,64,1.0,65.36088169153201,278.9991912920999,278.9991912920999,False
mixed,0.1,10.0,4,64,1.0,208.74198262045252,127.48890512968087,553.5214785813714,True
mixed,0.1,50.0,4,64,1.0,23.766468488860923,61.217698216735734,390.6570601895344,False
mixed,0.1,100.0,4,64,1.0,13.802745070896686,38.4098510412876,281.65689509085325,False
mixed,0.1,200.0,4,64,1.0,9.89426359325419,26.85233079976302,212.67482097046073,False
mixed,0.1,1000.0,4,128,1.0,4.099198612415745,16.562364934812138,131.31062273933557,False
mixed,0.1,1.0,10,64,1.0,636.5469220841727,220.8812956223789,220.8812956223789,False
mixed,0.1,10.0,10,64,1.0,2120.976049454454,186.08682391087868,490.5801068844456,True
mixed,0.1,50.0,10,64,1.0,384.1562839265172,106.8058891736009,489.3620193879194,True
