condition,gradient_bin,mean_value,sd_value,mean_down_value,sd_down_value,mean_signed_value,sd_signed_value,mean_decision_value,sd_decision_value,mean_up_score_value,sd_up_score_value,mean_down_score_value,sd_down_score_value,mean_net_score_value,sd_net_score_value,mean_receptor_gain_rate_value,sd_receptor_gain_rate_value,mean_median_receptor_contrast_percent,sd_median_receptor_contrast_percent,n_biological_replicates,min_n_movies,min_n_tracks,mean_n_tracks,mean_n_events,mean_n_episodes,bin_lower_percent,bin_upper_percent,contrast_threshold_percent,metric,passage_distance_um
SBA_NAI,0,0.10386179593411177,0.011815644744975833,0.0595714712641772,0.009302002989412635,0.04429032466993455,0.014052746988345853,0.163433267198289,0.01596225995248071,0.008451380575018843,0.0015488358234956507,0.006338712843224994,0.0008666445596472779,0.002112667731793848,0.0006828990412192558,0.0008025723288550939,0.0008166977180474938,4.844368918415391,2.051650781656659,3,5,1025,4574.0,262026.66666666666,17260.666666666668,0.0,inf,0.0,local_successful_passage_fraction,0.75
SBA_NAI,1,0.07734453038622395,0.017549419042067343,0.04315912220391862,0.012648958596587831,0.03418540818230532,0.009532158488542013,0.12050365259014258,0.029070508752580427,0.007438649889116884,0.0020427204891202886,0.0054219046015567185,0.0010804631772553643,0.0020167452875601653,0.0009699303394464122,0.0007794813969009004,0.000808926138856107,4.896916504425453,2.00302193098828,3,5,1025,4488.666666666667,236104.33333333334,20783.0,1.3932546508168322,inf,1.3932546508168322,local_successful_passage_fraction,0.75
SBA_NAI,2,0.06486417391425511,0.017088854563928595,0.03540253817303552,0.013106040009984396,0.02946163574121959,0.006927394722267827,0.10026671208729064,0.029658146814370016,0.007216089445262218,0.002076711501241444,0.005020755400434097,0.000924117581683581,0.00219533404482812,0.001182520894176934,0.0008402732940673902,0.0008028870661027174,4.974153625758185,1.7930694837629795,3,5,1022,4313.0,210470.0,21384.0,2.0422978259518083,inf,2.0422978259518083,local_successful_passage_fraction,0.75
SBA_NAI,3,0.05987417893454603,0.01961367975143601,0.028296882245972963,0.008169788139699498,0.031577296688573064,0.012866263683873905,0.088171061180519,0.027154060508438858,0.007310684356403527,0.0018036061191879001,0.004839048141908144,0.0009420374324614979,0.002471636214495383,0.0011113773948571483,0.0009120750429819487,0.0008407928305413422,5.218181566270766,1.7178367445321407,3,5,1013,4067.6666666666665,184813.33333333334,20744.0,2.614459557604828,inf,2.614459557604828,local_successful_passage_fraction,0.75
SBA_NAI,4,0.054162719151017204,0.018893035246671974,0.023998714681673704,0.006444683572885059,0.030164004469343506,0.013399228139855354,0.0781614338326909,0.024847980594593932,0.007204113058418472,0.0020097229806837363,0.004657411815286915,0.0008149576447735746,0.002546701243131556,0.001386806417088772,0.001005445388675699,0.0008338759412183373,5.566107506740006,1.753882316952416,3,5,1000,3759.3333333333335,158882.0,19392.333333333332,3.1804672870230895,inf,3.1804672870230895,local_successful_passage_fraction,0.75
SBA_NAI,5,0.05114315145992871,0.017566729079090668,0.021273411069133826,0.0054680556917075926,0.02986974039079489,0.01372790745610866,0.07241656252906253,0.022102573697379387,0.007584268142722332,0.0026421553692431263,0.00469408392340536,0.0015407711407644583,0.002890184219316973,0.0014339343018001508,0.0011158880153306309,0.000809064417395073,5.8839460421925365,1.5673951449135035,3,5,983,3378.6666666666665,132181.0,17515.666666666668,3.784808417712415,inf,3.784808417712415,local_successful_passage_fraction,0.75
SBA_NAI,6,0.04642793562749032,0.014978434438786352,0.01946486929165706,0.003940174013233691,0.026963066335833268,0.011925262972740656,0.06589280491914738,0.0183723989183271,0.007431896549321777,0.0029354255525618337,0.004822364467835742,0.0013518722443221541,0.0026095320814860344,0.0018496668946466736,0.0012013398105252557,0.0007650556939793545,6.352568604127775,1.3587771241263185,3,5,962,2922.6666666666665,105680.66666666667,15201.0,4.461288706882853,inf,4.461288706882853,local_successful_passage_fraction,0.75
SBA_NAI,7,0.04010269453787932,0.011365909814022739,0.01696480377121429,0.0045155257200443,0.023137890766665028,0.010243221597615962,0.05706749830909361,0.013936433121853446,0.006601571203598055,0.0015937563770919531,0.005071533169278888,0.0019734286261221287,0.0015300380343191667,0.0015748380539998043,0.0011986103490038771,0.0008527291661510487,7.21609785841308,1.430009707259252,3,5,931,2386.6666666666665,78226.0,12186.333333333334,5.293953958863754,inf,5.293953958863754,local_successful_passage_fraction,0.75
SBA_NAI,8,0.03872924150986872,0.009776876243980203,0.014800303331064852,0.004302317475271352,0.02392893817880387,0.00993633565628301,0.053529544840933564,0.01137821265497961,0.006710403791853521,0.001851974261986383,0.004332420515372796,0.0022890946391020245,0.002377983276480727,0.0017175142451146084,0.001555170504666704,0.0007877626353671661,7.671431287196019,1.32678095820186,3,5,908,2060.3333333333335,64504.666666666664,10423.333333333334,5.834815513313703,inf,5.834815513313703,local_successful_passage_fraction,0.75
SBA_NAI,9,0.037333013986076156,0.005990253514679078,0.01395924427480511,0.0051690520319298905,0.023373769711271048,0.007191682713849111,0.051292258260881275,0.008572290936568298,0.007108684436770335,0.0020966723717025463,0.004548396178789522,0.0023944311212058434,0.0025602882579808116,0.0014203562096129186,0.0016908641166182372,0.0009309956154131199,8.207201524280533,1.0288271627870837,3,5,885,1710.6666666666667,50971.0,8487.666666666666,6.5192821014307984,inf,6.5192821014307984,local_successful_passage_fraction,0.75
SBA_NAI,10,0.03301660149592504,0.004931328510915566,0.011062637960717547,0.005876602599209558,0.021953963535207493,0.004916694170463441,0.044079239456642584,0.009671144524684837,0.006357843528443308,0.0022703043612898053,0.00399989952758899,0.002893890252506402,0.0023579440008543178,0.001386462411706099,0.0020807353997343786,0.0010825032674851934,9.115303768903688,0.6440028840891124,3,5,841,1304.3333333333333,37528.0,6368.333333333333,7.497221835432341,inf,7.497221835432341,local_successful_passage_fraction,0.75
SBA_NAI,11,0.03453782588191597,0.006873003141575241,0.010327502094634074,0.0070007659665247916,0.0242103237872819,0.0018199298149564555,0.044865327976550046,0.013754477382763126,0.006819248167839207,0.0030313168590109167,0.0038945324597644717,0.003416275662075141,0.0029247157080747343,0.001214996729812625,0.0025404219119406594,0.0010683585736402524,9.942313610100669,0.8862051991351738,3,5,802,1067.6666666666667,30607.0,5240.666666666667,8.200725731839787,inf,8.200725731839787,local_successful_passage_fraction,0.75
SBA_NAI,12,0.034873869832622494,0.011513331262588642,0.010685117353425212,0.007679246759791485,0.024188752479197287,0.00420902491268939,0.0455589871860477,0.019113852683436117,0.006521372905080648,0.0038427951101400806,0.0041911972733071935,0.0036814636019500773,0.0023301756317734546,0.00018741200351964145,0.002862835111431896,0.0012378322802892693,11.206453569413162,0.744167870881903,3,5,736,827.6666666666666,23699.666666666668,4087.3333333333335,9.1966917756456,inf,9.1966917756456,local_successful_passage_fraction,0.75
SBA_NAI,13,0.03330305819227621,0.011998403118961956,0.008459710045098967,0.006729808934521762,0.024843348147177247,0.005772821281891299,0.04176276823737518,0.018578981291984577,0.00595141046609391,0.0026491860828161224,0.003453737271504463,0.0030769991348524326,0.0024976731945894463,0.0004525911832467101,0.0032938524699556797,0.0018877044369578638,13.270729434849832,0.7362479014118131,3,5,546,594.0,16688.333333333332,3010.6666666666665,10.773492239411073,inf,10.773492239411073,local_successful_passage_fraction,0.75
SBA_NAI,14,0.02932465190061675,0.009582811252464471,0.007074187585522581,0.006247706939917032,0.02225046431509417,0.007755717619433087,0.03639883948613933,0.014197784025069172,0.004385635455860689,0.0012042411994683988,0.0030317481772134925,0.002641907557836759,0.0013538872786471965,0.0015513187457156072,0.006325482763960169,0.001923853132745688,16.754971775874054,0.7200018038317861,3,5,322,378.0,10021.0,1919.0,13.858520620912364,inf,13.858520620912364,local_successful_passage_fraction,0.75
