crosslinking,contrast_threshold_percent,mean_field_area_percent,sd_field_area_percent,n_biological_replicates,biological_replicate_values
SBA,0.0,100.0,0.0,3,100;100;100
SBA,0.25,99.60320304037026,0.13185387361341178,3,99.558385;99.4996;99.751624
SBA,0.5,98.42117719283856,0.5305659548501142,3,98.258548;97.990961;99.014023
SBA,0.75,96.52118892883982,1.1635530375931962,3,96.161636;95.579851;97.822079
SBA,1.0,93.96591740247527,1.981395950365753,3,93.383152;92.341258;96.173343
SBA,1.25,90.84405093061048,2.9640894562044644,3,90.002479;88.391747;94.137927
SBA,1.5,87.26796938184414,4.067866109881657,3,86.171085;83.861014;91.771809
SBA,1.75,83.30115511670046,5.260609936921452,3,81.966046;78.836738;89.100681
SBA,2.0,79.09064460916888,6.421996721088826,3,77.566965;73.567515;86.137454
SBA,2.25,74.7121339161341,7.579700508162416,3,73.058894;68.095505;82.982003
SBA,2.5,70.26978352498953,8.724686606414156,3,68.517768;62.554052;79.737531
SBA,2.75,65.8210143667181,9.729770491878668,3,63.999212;57.130915;76.332916
SBA,3.0,61.432696406367256,10.613859564517668,3,59.604135;51.851917;72.842037
SBA,3.25,57.18849411781489,11.339673768098471,3,55.363983;46.871699;69.3298
SBA,3.5,53.06718349162416,11.971925781902613,3,51.260994;42.100979;65.839577
SBA,3.75,49.14588470401193,12.44842328125001,3,47.410314;37.65632;62.371019
SBA,4.0,45.43977684197123,12.742137347285219,3,43.785761;33.605417;58.928153
SBA,4.25,41.95103981310928,12.883987589718732,3,40.400192;29.912671;55.540257
SBA,4.5,38.726630095740866,12.927769234038541,3,37.305717;26.568016;52.306157
SBA,4.75,35.732308439410744,12.883358206968346,3,34.415316;23.558032;49.223578
SBA,5.0,32.94940730138948,12.7093530847663,3,31.736462;20.890011;46.221749
SBA,5.25,30.393208004567498,12.471410600742665,3,29.339189;18.482257;43.358178
SBA,5.5,28.04823027219562,12.15730284293106,3,27.144726;16.367886;40.632079
SBA,5.75,25.91207648161706,11.793831476366021,3,25.166319;14.50882;38.06109
SBA,6.0,23.941982165117523,11.377653403873907,3,23.382686;12.854292;35.588969
SBA,6.25,22.168430318159903,10.937275740083,3,21.790781;11.42487;33.28964
SBA,6.5,20.540322611509765,10.48760191013269,3,20.35163;10.14834;31.120998
SBA,6.75,19.063571137489195,10.012270126602772,3,19.068336;9.0489195;29.073458
