physical_condition,series,architecture,K_C,K_D,n_binders,gradient_scale,receptor_density_contrast_percent,plotted_axis_coordinate,mean,lower_95_percent,upper_95_percent,trajectory_count,curve_role,arrival_time_limit,recording_time_limit,mean_recorded_duration,path_ci_time_limit,mean_path_ci_duration,observation_lag,mobile_fraction,effective_K_D_at_start,local_K_C_at_start,cleavage_rate_scale,path_ci_correction_coefficient
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0,0.0,1.0,1.2847191912401916e-08,,,,zero_gradient_control,200000.0,200000.0,199999.99983693837,100000.0,99999.9999999985,0.0,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0005,2.0196240732495596,2.0196240732495596,3.519569417610798e-07,,,,gradient,500000.0,500000.0,499999.9909323085,100000.0,99999.99999999977,1960.7842781659156,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0005323020344072,2.151458835184439,2.151458835184439,2.6500163321235707e-06,,,,gradient,500000.0,500000.0,499999.9253827501,100000.0,99999.9999999998,1960.784021108824,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0005646051117143,2.283463960464771,2.2834639604638607,1.4552720565891736e-05,,,,gradient,500000.0,500000.0,499999.5538014266,100000.0,99999.99999999993,1960.7825639271632,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.000596909231955,2.4156396692418314,2.415639669240921,6.181993105414686e-05,,,,gradient,500000.0,500000.0,499997.94330905547,100000.0,99999.99999999936,1960.7762482708056,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0006292143951636,2.547986181953243,2.547986181953243,0.0002126929788045,,,,gradient,500000.0,500000.0,499992.3481754373,100000.0,100000.0,1960.7543065703424,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0006615206013727,2.6805037193187164,2.6805037193187164,0.000615398183776,,,,gradient,500000.0,500000.0,499976.1329484062,100000.0,99999.99999999948,1960.6907174447304,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0006938278506168,2.8131925023468174,2.8131925023468174,0.0015400618315207,,,,gradient,500000.0,500000.0,499935.8095015514,100000.0,99999.99999999948,1960.5325862805937,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.000726136142929,2.9460527523271773,2.9460527523271773,0.0034086414831611,,,,gradient,500000.0,500000.0,499847.7996645251,100000.0,99999.99999999962,1960.1874496648045,1.0,500.0,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,500.0,10.0,1.0007584454783431,3.07908469083904,3.07908469083904,0.0068022981272019,,,,gradient,500000.0,500000.0,499675.627326032,100000.0,99999.99999999956,1959.512264023655,1.0,500.0,0.0,0.002,1.0
