physical_condition,series,architecture,K_C,K_D,n_binders,gradient_scale,mean_attachments_over_K_D,plotted_axis_coordinate,mean,lower_95_percent,upper_95_percent,trajectory_count,curve_role,arrival_time_limit,recording_time_limit,mean_recorded_duration,path_ci_time_limit,mean_path_ci_duration,observation_lag,mobile_fraction,effective_K_D_at_start,local_K_C_at_start,cleavage_rate_scale,path_ci_correction_coefficient
constrained thermal motion,mean_field_theory,mixed,0.0,499.99999999999994,10.0,1.001,0.0005499375617013,0.0005499375617013,0.1513464249793671,,,,gradient,500000.0,500000.0,489228.6208097896,100000.0,99999.9999767342,1918.543611018783,1.0,499.99999999999994,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,482.93864539949584,10.0,1.001,0.0005889084660093,0.0005889084660093,0.1679036969899912,,,,gradient,500000.0,500000.0,487874.48727881326,100000.0,99999.99996347248,1913.2332834463264,1.0,482.93864539949584,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,466.45947044060057,10.0,1.001,0.0006306200076885,0.0006306200076885,0.1859442577970902,,,,gradient,500000.0,500000.0,486371.312386282,100000.0,99999.99994245036,1907.338479946204,1.0,466.45947044060057,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,450.5426095766997,10.0,1.001,0.0006752626771327,0.0006752626771327,0.2055394056459057,,,,gradient,500000.0,500000.0,484707.47490192,100000.0,99999.99990905864,1900.813627066353,1.0,450.5426095766997,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,435.1688751274506,10.0,1.001,0.0007230399665911,0.0007230399665911,0.2267541281031499,,,,gradient,500000.0,500000.0,482871.3433689928,100000.0,99999.99985593645,1893.613111250952,1.0,435.1688751274506,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,420.3197341481472,10.0,1.001,0.0007741692325198,0.0007741692325198,0.249645618973461,,,,gradient,500000.0,500000.0,480851.44911436585,100000.0,99999.99977134092,1885.6919573112384,1.0,420.3197341481472,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,405.9772860883649,10.0,1.001,0.0008288826125129,0.0008288826125129,0.274261846052934,,,,gradient,500000.0,500000.0,478636.6790311199,100000.0,99999.9996365666,1877.0065844357644,1.0,405.9772860883649,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,392.12424121295714,10.0,1.001,0.0008874279999991,0.0008874279999991,0.3006402249497359,,,,gradient,500000.0,500000.0,476216.4849835768,100000.0,99999.9994218836,1867.5156273865755,1.0,392.12424121295714,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,378.7438997593818,10.0,1.001,0.0009500700800444,0.0009500700800444,0.3288064561592981,,,,gradient,500000.0,500000.0,473581.1055435052,100000.0,99999.99908017478,1857.1808060529615,1.0,378.7438997593818,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,365.82013180623665,10.0,1.001,0.0010170914297683,0.0010170914297683,0.3587735815310395,,,,gradient,500000.0,500000.0,470721.7946688698,100000.0,99999.99853702984,1845.967822230862,1.0,365.82013180623665,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,353.33735782873833,10.0,1.001,0.0010887936870454,0.0010887936870454,0.3905413118465762,,,,gradient,500000.0,500000.0,467631.05095958064,100000.0,99999.99767543096,1833.847258665022,1.0,353.33735782873833,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,341.28052991769573,10.0,1.001,0.0011654987913375,0.0011654987913375,0.4240956693098271,,,,gradient,500000.0,500000.0,464302.84034880536,100000.0,99999.99631226926,1820.7954523482565,1.0,341.28052991769573,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,329.6351136393482,10.0,1.001,0.0012475503006809,0.0012475503006809,0.4594089774641823,,,,gradient,500000.0,500000.0,460732.80458939733,100000.0,99999.99416262405,1806.7953121152837,1.0,329.6351136393482,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,318.3870705141918,10.0,1.001,0.0013353147890283,0.0013353147890283,0.4964402168361569,,,,gradient,500000.0,500000.0,456918.4477415558,100000.0,99999.99078597728,1791.8370499668856,1.0,318.3870705141918,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,307.52284109367514,10.0,1.001,0.0014291833283365,0.0014291833283365,0.5351357481855736,,,,gradient,500000.0,500000.0,452859.2931062915,100000.0,99999.98550605652,1775.918796495261,1.0,307.52284109367514,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,297.0293286143681,10.0,1.001,0.0015295730599706,0.0015295730599706,0.5754303876043898,,,,gradient,500000.0,500000.0,448557.003705548,100000.0,99999.9772927346,1759.0470733550903,1.0,297.0293286143681,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,286.8938832098894,10.0,1.001,0.0016369288601932,0.0016369288601932,0.6172488000179001,,,,gradient,500000.0,500000.0,444015.4604772808,100000.0,99999.96459020396,1741.237099910905,1.0,286.8938832098894,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,277.1042866615703,10.0,1.001,0.0017517251046924,0.0017517251046924,0.6605071611551641,,,,gradient,500000.0,500000.0,439240.7937936248,100000.0,99999.94507028014,1722.5129168377443,1.0,277.1042866615703,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,267.64873766946505,10.0,1.001,0.0018744675373014,0.0018744675373014,0.705115023994025,,,,gradient,500000.0,500000.0,434241.36565454176,100000.0,99999.91528333085,1702.9073162923207,1.0,267.64873766946505,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,258.51583762595294,10.0,1.001,0.0020056952482524,0.0020056952482524,0.750977315115392,,,,gradient,500000.0,500000.0,429027.701858996,100000.0,99999.87017190795,1682.4615759176313,1.0,258.51583762595294,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,249.69457687478777,10.0,1.001,0.0021459827675044,0.0021459827675044,0.7979963801256537,,,,gradient,500000.0,500000.0,423612.3754949006,100000.0,99999.802404253,1661.2250019407868,1.0,249.69457687478777,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,241.17432143902064,10.0,1.001,0.0022959422788744,0.0022959422788744,0.846073995779301,,,,gradient,500000.0,500000.0,418009.84508888714,100000.0,99999.70147700174,1639.254294466224,1.0,241.17432143902064,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,232.9448002018065,10.0,1.001,0.0024562259608938,0.0024562259608938,0.8951132697130244,,,,gradient,500000.0,500000.0,412236.2525912253,100000.0,99999.55252985311,1616.6127552597072,1.0,232.9448002018065,0.0,0.002,1.0
constrained thermal motion,mean_field_theory,mixed,0.0,224.9960925246335,10.0,1.001,0.0026275284604977,0.0026275284604977,0.945020356445876,,,,gradient,500000.0,500000.0,406309.1879241992,100000.0,99999.33481116944,1593.3693644086245,1.0,224.9960925246335,0.0,0.002,1.0
