architecture,phi_b,chi_C,exploration_range_score,gradient_guidance_score,escape_score,exploit_score,passive_score
polarized,0.0025,0.001,0.0004316419138171,0.2133842598370488,0.0639619478551468,0.0003118588740223,0.9182745541211232
polarized,0.0026624666009945,0.001,0.00045055013233,0.226400552570686,0.0636043845102554,0.0003784875119379,0.917159117014289
polarized,0.0028354913605645,0.001,0.000470130073865,0.2400337606668471,0.0632158488599288,0.0004593874572477,0.9157983140555812
polarized,0.0030197604179647,0.001,0.0004901174511833,0.2543623678845451,0.0627935914895783,0.0005576138961141,0.9141623114234364
polarized,0.0032160045023345,0.001,0.0005100560068709,0.2693786922635509,0.0623346099148136,0.0006768737237013,0.9122220148904094
polarized,0.0034250018304455,0.001,0.0005305111476541,0.2850535156686101,0.0618357076983127,0.0008216645074497,0.9099492108999192
polarized,0.0036475811927626,0.001,0.000551138151723,0.3016683699530359,0.0612934501370691,0.0009974416618489,0.9073171072290036
polarized,0.0038846252400585,0.001,0.0005723867071474,0.3193118839241397,0.0607041938754045,0.0012108214094226,0.9043005567764824
polarized,0.0041370739836145,0.001,0.0005934319819781,0.3378181536174998,0.0600640943653105,0.0014698256069026,0.9008766712782496
polarized,0.0044059285228868,0.001,0.000614461012336,0.356961875336177,0.0593691133654506,0.0017841771712195,0.897027161521834
polarized,0.0046922550154221,0.001,0.0006358483813404,0.3765686375372154,0.0586150747769775,0.0021656560864321,0.8927509841758011
polarized,0.0049971889047642,0.001,0.0006573183967465,0.3970124091339876,0.0577976796343215,0.0026285264221354,0.8878837761962118
polarized,0.0053219394231181,0.001,0.0006787153580777,0.4184146013226388,0.0569125916559256,0.0031900489428988,0.8824992102095888
polarized,0.0056677943866273,0.001,0.0006996015357829,0.4405641713306272,0.0559555007003536,0.0038710925550439,0.8765721063580295
polarized,0.0060361253022798,0.001,0.0007208172798049,0.4628967478352117,0.0549222269845525,0.0046968625141482,0.8701612475720927
polarized,0.0064283928066953,0.001,0.0007416769007479,0.4852006904074101,0.0538088329324413,0.0056977632218368,0.8634010425677852
polarized,0.0068461524583599,0.001,0.0007618532919354,0.507658773083724,0.0526117758024717,0.006910411828808,0.8560561344905704
polarized,0.00729106090628,0.001,0.0007817522218863,0.5307065154671227,0.0513280642931772,0.0083788272529336,0.8483436389976382
polarized,0.0077648824595151,0.001,0.0008012540775536,0.5537032873123594,0.0499554521099998,0.0101558053556856,0.8402061015917194
polarized,0.0082694960836429,0.001,0.0008198537914308,0.5761966552469365,0.0484926281130404,0.0123044969600659,0.8316793860635195
polarized,0.0088069028519018,0.001,0.0008376042383304,0.5976701502397838,0.0469394508597335,0.0149001978839206,0.8226417803526936
polarized,0.0093792338805569,0.001,0.000854643105576,0.6184181382068319,0.0452971424316462,0.0180323408784954,0.8131670440355976
polarized,0.0099887587799597,0.001,0.0008705058291498,0.6388111647040785,0.0435685045013426,0.0218066649290478,0.8030822225162765
polarized,0.0106378946548135,0.001,0.0008853156486828,0.6585325414740856,0.0417579173408977,0.0263477725829794,0.7925082266820794
polarized,0.0113292156893358,0.001,0.0008982339782093,0.6772262407383755,0.0398719668369145,0.0318022014176533,0.7814368195725923
polarized,0.012065463355328,0.001,0.0009086154837121,0.6945320537566128,0.0379190716531034,0.0383395308951957,0.7697963202812393
polarized,0.0128495572836338,0.001,0.0009158070417376,0.7109947195305599,0.0359096023047449,0.0461549144743861,0.7575272383797291
polarized,0.0136846068420965,0.001,0.0009197448462541,0.7270242168579248,0.0338557926413262,0.0554705579221313,0.7446928392370373
polarized,0.0145739234659294,0.001,0.0009205577698227,0.7420499739852058,0.0317715426011256,0.0665362869057409,0.7312739441066831
polarized,0.0155210337893951,0.001,0.0009183078094883,0.7554948295817355,0.0296721757378068,0.0796288415872713,0.7171961144337717
polarized,0.0165296936308689,0.001,0.0009130287806525,0.7667750082959999,0.0275740495841199,0.0950493526305901,0.7025301545851166
polarized,0.0176039028867443,0.001,0.0009049169913332,0.7769829731502528,0.0254936848533193,0.1131186806036322,0.6871976764127985
polarized,0.0187479213932434,0.001,0.0008942067226593,0.7869556018766826,0.0234477631774904,0.1341701475117648,0.6712319002412167
polarized,0.0199662858190327,0.001,0.0008811674490719,0.795714955602053,0.0214523942413163,0.1585355675148738,0.6546225317580622
polarized,0.0212638276556343,0.001,0.0008663034032168,0.8022770292504595,0.0195226035861788,0.186461274817498,0.6373715261753622
polarized,0.0226456923769722,0.001,0.0008497823007949,0.805652693320386,0.017671860207958,0.2182997014708714,0.6194851355290802
polarized,0.0241173598440342,0.001,0.0008318679916879,0.8062883409548556,0.0159117055155413,0.2544677437909577,0.6009874886537908
polarized,0.0256846660355632,0.001,0.0008128623716481,0.8054851007870286,0.0142514743400684,0.2953628996800411,0.5818792626007357
polarized,0.0273538261909545,0.001,0.0007930828219852,0.8035377520629321,0.0126981413798931,0.3412896618072167,0.5622018657992613
polarized,0.0291314594571305,0.001,0.000772944106004,0.800746071923585,0.0112562819952066,0.3923304211572704,0.5423242833294898
polarized,0.0310246151371348,0.001,0.0007525958272433,0.7974143574170127,0.0099281474539353,0.4481258837631439,0.5224122538853219
polarized,0.0330408006445325,0.001,0.0007327194951241,0.792013120068858,0.0087138280887376,0.5074943398202381,0.5018565452299917
polarized,0.0351880112744749,0.001,0.0007150545733365,0.7835393969302051,0.0076115016088751,0.5677884256556622,0.4807034407374936
polarized,0.0374747619094836,0.001,0.0006982155018404,0.7730967817293517,0.0066177083897126,0.624886610061035,0.4590083520239984
polarized,0.0399101207856892,0.001,0.0006819770516367,0.7617948127056665,0.0057276569444234,0.6741036085416385,0.4368358916413692
polarized,0.0425037454534223,0.001,0.0006639234426642,0.7507470354773161,0.0049355369640855,0.7114632472346631,0.4142596482201279
polarized,0.0452659210747644,0.001,0.000647100403337,0.739597593894833,0.0042348125774701,0.7299436863279386,0.3913620317436445
polarized,0.0482076012099262,0.001,0.0006307946813083,0.7275750890655496,0.003618537682553,0.7423901430387418,0.368233895339066
polarized,0.0513404512541972,0.001,0.0006152226235174,0.7151725235133666,0.0030794332221134,0.7707128661611653,0.3449740442853932
polarized,0.0546768946977156,0.001,0.0006008834280259,0.702883692952847,0.0026103004143643,0.7985962957906978,0.3216884911594578
polarized,0.0582301623915055,0.001,0.0005915785081141,0.6912020696299457,0.0022047718151748,0.8240260104643691,0.2984897498028846
polarized,0.062014345015149,0.001,0.0005833641317309,0.6799141910023226,0.0018553990281296,0.8468899966078155,0.275495688596965
polarized,0.0660444489541549,0.001,0.0005761447910631,0.6686808768348536,0.0015555913839937,0.8671501607203194,0.252828113153865
polarized,0.0703364558086107,0.001,0.0005666303282836,0.6578072593073412,0.0014020956285035,0.8848443969863901,0.2306114398398167
polarized,0.0749073857691021,0.001,0.0005555020498484,0.6475978451809975,0.0012219467540457,0.9000841517461549,0.2089706339137602
polarized,0.0797753651112196,0.001,0.0005487684899472,0.6383563191720891,0.0010318576175035,0.9130467835958276,0.1880292992452559
polarized,0.0849596980763072,0.001,0.000544586288611,0.6297137815455567,0.0008874354041957,0.9239620131771108,0.1679072923229311
polarized,0.0904809434234996,0.001,0.0005403269556541,0.621349722637117,0.000768384857817,0.9360657562750648,0.1487182443794858
polarized,0.0963609959566181,0.001,0.0005326657101092,0.6136398832354721,0.0006468891836822,0.947350514790941,0.130566979120288
polarized,0.1026231733492267,0.001,0.0005240213108776,0.6069602724040328,0.0005322489489832,0.9569494544632312,0.113546728999796
polarized,0.1092923086121561,0.001,0.0005180890262738,0.6016859920089794,0.0004405548929128,0.9649966338421628,0.0977365626061709
polarized,0.1163948485701819,0.001,0.0005105408170083,0.5971827305039351,0.0003542071089264,0.9716714079783868,0.0831988704745322
polarized,0.1239589587383711,0.001,0.0004968780998458,0.5928711823719173,0.0002852104809544,0.9772234714749292,0.0699771699176776
polarized,0.1320146350139898,0.001,0.0004852737504,0.5892075549123141,0.0002218656245312,0.9819679520440994,0.0580943457528177
polarized,0.1405938226268935,0.001,0.0004711203532638,0.5866463130378561,0.0001713182684745,0.9866007087960555,0.0475514858280481
polarized,0.1497305428201024,0.001,0.0004508633112928,0.5856391421169356,0.0001284835742943,0.9906631749963244,0.038327373301367
polarized,0.1594610277629228,0.001,0.0004314636600149,0.5858236206265214,9.442332246705378e-05,0.9935989045106112,0.030378878422313
polarized,0.1698238642316188,0.001,0.0004061465059764,0.586468615119824,6.844154703613372e-05,0.9957919227982438,0.0236421662331684
polarized,0.1808601466274073,0.001,0.0003827233455824,0.5874691133113346,5.1534784679201015e-05,0.997498390142785,0.0180348803703022
polarized,0.1926136399385797,0.001,0.0003538819349212,0.5887189278022184,3.929381041759702e-05,0.9987974717026484,0.0134591477516647
polarized,0.2051309532929834,0.001,0.0003293414729342,0.5901101850877719,2.953618827816578e-05,0.99952954037512,0.0098053679677531
polarized,0.2184617247890967,0.001,0.0003001506907054,0.5921916246998769,2.183440249631788e-05,0.9997953620728834,0.0069565606870533
polarized,0.2326588183386534,0.001,0.0002730879688813,0.5953013099060297,1.5829446870325686e-05,0.99969148768873,0.0047930184873655
polarized,0.2477785333014092,0.001,0.0002492189520646,0.5990163267372172,1.1218055646560696e-05,0.9987345937962324,0.0031969672205426
polarized,0.2638808277433672,0.001,0.0002262650711613,0.6029163539357649,7.742277648984578e-06,0.9984001807715946,0.0020568916147585
polarized,0.2810295562038046,0.001,0.0002054472208323,0.606584904304912,5.181305362162622e-06,0.9980312750802632,0.00127120805137
polarized,0.2992927229139804,0.001,0.0001888656980951,0.6103859923309661,3.3454538924227703e-06,0.9970272397465688,0.0007510153156461
polarized,0.3187427514716758,0.001,0.0001761219752591,0.6146042580948425,2.0720235608673102e-06,0.9964667005918842,0.000421739389936
polarized,0.3394567720409776,0.001,0.0001674017850333,0.6186949269069554,1.2227044354258651e-06,0.995326807446429,0.0002236120467666
polarized,0.3615169272162095,0.001,0.0001608305678298,0.622091574376005,6.822479231394571e-07,0.9942803147811168,0.0001110547843892
polarized,0.3850106977629344,0.001,0.0001571940965889,0.6241978893613788,3.565609436736476e-07,0.9930953247636506,5.116819308362357e-05
polarized,0.4100312495277678,0.001,0.0001552852951677,0.6253360758883355,1.7246286813612267e-07,0.9915799845649492,2.1617451179544365e-05
polarized,0.436677802892698,0.001,0.0001546419516896,0.6261415094031954,7.610517704407137e-08,0.9899246985242054,8.254225944411947e-06
polarized,0.4650560262389961,0.001,0.0001557206204208,0.6264649448357463,3.0103343973024375e-08,0.9880552920909922,2.797321164344458e-06
polarized,0.4952784549810292,0.001,0.0001583124237443,0.6261700240792416,1.0449197501362864e-08,0.9858733999170988,8.22114133023739e-07
polarized,0.5274649378316696,0.001,0.0001618987783886,0.6251375720452357,3.090721378007414e-09,0.9833628571132648,2.032779521374015e-07
polarized,0.5617431120689951,0.001,0.0001665527372881,0.6163919516018228,7.483864883313959e-10,0.9804998433098848,4.0605428253264574e-08
polarized,0.5982489096889749,0.001,0.00017232913922,0.595190049827877,1.409780723844495e-10,0.9769654856547684,6.1937056144834515e-09
polarized,0.6371270964513206,0.001,0.0001793678540992,0.5648014297271704,1.9086062637634567e-11,0.9728476955270954,6.652138174169751e-10
polarized,0.6785318459561102,0.001,0.0001879753228306,0.5285661936269115,1.6542873502917673e-12,0.9678195273201068,4.4468666268187757e-11
polarized,0.7226273510277293,0.001,0.0001953768092011,0.4847139398383718,7.594309492978236e-14,0.9588642472929018,1.513609598544463e-12
polarized,0.769588474830598,0.001,0.0001954243734119,0.428820083308222,1.3132580756089228e-15,0.9420172415084308,1.8287114342765603e-14
polarized,0.8196014442987214,0.001,0.0001842261213669,0.3621579047322638,4.202485979169058e-18,0.9083849115597996,3.6859972361731075e-17
polarized,0.8728645886288959,0.001,0.0001564630163524,0.2769297866730661,3.5510667446596907e-22,0.8253628283199637,1.5546439810942913e-21
polarized,0.92,0.001,0.0001150642398766,0.1718700553045817,1.3642947703723913e-29,0.5656162570191502,1.7163864048500627e-29
polarized,0.9295891257661136,0.001,0.0001044222003324,0.141597881044697,1.1986811221131936e-32,0.4224432832273693,8.549170792213137e-33
polarized,0.9327282867797028,0.001,0.0001007267816911,0.1302196944089919,5.5374614611234056e-34,0.3578075139944642,3.0119947738266883e-34
polarized,0.9434314575050762,0.001,8.74232147652812e-05,0.0802416418781815,8.382095358986519e-42,0.0615367410348097,5.384380495139033e-43
polarized,0.9524317153998912,0.001,0.0,0.0,0.0,0.0,1.0
polarized,0.96,0.001,0.0,0.0,0.0,0.0,1.0
polarized,0.9663641433898514,0.001,0.0,0.0,0.0,0.0,1.0
polarized,0.971715728752538,0.001,0.0,0.0,0.0,0.0,1.0
polarized,0.9762158576999456,0.001,0.0,0.0,0.0,0.0,1.0
polarized,0.98,0.001,0.0,0.0,0.0,0.0,1.0
