architecture,K_C,K_D,n_binders,n_cleavers,simulated_range_mean,simulated_range_p25,simulated_range_p75,mean_field_range,persistence_length,effective_trail_width,detachment_area,n_trajectories,n_detached,n_at_observation_time,observation_time
mixed,0.1,10.0,4,16,52.303904583876445,24.546695696726275,72.440321541332,199.01870972974604,6.006054228810179,0.008242513479969448,0.0495049829423954,64,64,0,1000000.0
mixed,0.1,10.0,10,10,260.5963641503643,120.29350758138716,356.70486389911025,298.9352416347165,5.366331109225742,0.0022491439821753782,0.0120696513206756,64,64,0,1000000.0
mixed,0.1,50.0,10,10,92.88242102379763,47.413391803157296,111.52770725269752,228.55478346877425,5.498138679584465,0.004484073885464397,0.0246540600717864,64,64,0,1000000.0
mixed,0.1,100.0,10,10,67.70202535119068,29.97294383425532,91.12193741596644,113.56651969554738,4.507926271306545,0.011680683213300751,0.0526556587240478,64,64,0,1000000.0
mixed,0.1,200.0,10,10,67.38585796158142,32.49492758207273,96.74352536083192,50.112467272838565,3.448132543740479,0.03287376970385916,0.1133531151513066,64,64,0,1000000.0
mixed,0.1,1000.0,10,10,63.34651722417772,11.903505890598929,88.84221562073682,7.645247968227664,1.7491064825747529,0.3616659275706165,0.6325922184401763,128,128,0,1000000.0
mixed,0.1,100.0,16,4,284.12471875151004,116.1908729443002,374.3329088018772,300.03792127771453,5.416204243240205,0.002298845488269432,0.0124510166881185,64,64,0,1000000.0
mixed,0.1,200.0,16,4,105.30540335168152,49.47868669552816,140.95895638784555,133.30717806662457,4.2078196286928025,0.006405340842108612,0.0269525189238923,64,58,6,1000000.0
mixed,1.0,10.0,10,10,37.83513389402465,15.016194511475362,55.0017319201984,74.83672112165446,3.622470337903126,0.014946195582255892,0.0541421501612207,64,64,0,1000000.0
mixed,1.0,50.0,10,10,34.116847130128605,9.816761191883106,48.19609740378704,56.92136500300019,3.644860921531181,0.029236158755975974,0.1065617325453385,64,64,0,1000000.0
mixed,1.0,100.0,10,10,44.76949393325283,9.887739625838991,63.62427247760665,28.140346970619973,2.878975046590768,0.0723983424723099,0.2084330213923128,256,256,0,1000000.0
mixed,1.0,200.0,10,10,45.27565706550677,5.956230314384173,71.37679347204983,12.94234785194432,2.180908928022721,0.1965322082925053,0.4286188477091459,256,256,0,1000000.0
mixed,1.0,10.0,16,4,128.74865505471,61.00190053029813,161.46382851796926,126.45263092636556,3.7361424747374623,0.0048830828761319365,0.0182438933411797,64,64,0,1000000.0
mixed,1.0,50.0,16,4,65.68278271320159,29.291128961220984,85.02904364915634,138.5737623857344,4.291827593803744,0.006253142960436803,0.0268374115056023,64,64,0,1000000.0
mixed,1.0,100.0,16,4,47.24767311449801,20.137288879953022,64.32320941066043,71.49878660342007,3.474218029053845,0.014464893727449694,0.0502541945762536,256,256,0,1000000.0
mixed,1.0,200.0,16,4,35.39964265881362,15.530428645479832,48.55291893353188,31.788433402429117,2.612682864676607,0.03831817831035671,0.1001132478770918,256,250,6,1000000.0
mixed,10.0,10.0,16,4,31.692625651916693,13.45603518158254,42.51991712035875,30.91926691921361,2.3812443379545676,0.02981159772889325,0.0709886982973063,64,64,0,1000000.0
mixed,10.0,50.0,16,4,28.282740806913324,11.57497225559021,38.56911416110592,33.73903984017926,2.728402128167931,0.03846409811579889,0.1049455271572058,64,64,0,1000000.0
