architecture,K_C,K_D,n_binders,body_axis_alignment,lower_interval,upper_interval,n_trajectories,plotted_K_C
mixed,0.0,100.0,10,0.2450782211842364,0.0626086925748669,0.3536986217667658,64.0,0.0
mixed,0.01,100.0,10,0.2089104987513037,0.0872228108082957,0.3007584322838904,64.0,1.0
mixed,0.1,100.0,10,-0.087586549139956,-0.1932302778121586,-0.0019203686492193,64.0,2.0
mixed,1.0,100.0,10,-0.3289456182785213,-0.367279798825691,-0.2843989534424522,64.0,3.0
mixed,10.0,100.0,10,-0.2901214425212769,-0.3493029660454273,-0.1847228433951484,64.0,4.0
polarized,0.0,100.0,10,0.3078518859515199,0.1332574441301657,0.4336143385462613,64.0,0.0
polarized,0.01,100.0,10,0.2157136506309497,0.0497599167425796,0.2985854427031618,64.0,1.0
polarized,0.1,100.0,10,0.3525036393369285,0.2099593968213001,0.4498343866665697,64.0,2.0
polarized,1.0,100.0,10,0.4690678425347309,0.3756309174938295,0.5475101953482076,64.0,3.0
polarized,10.0,100.0,10,0.5830266335629639,0.525037588516589,0.646664696938601,64.0,4.0
