architecture,K_D,directional_persistence_time
polarized,1.0,461.2474915813665
polarized,1.017461587793829,453.81959629237826
polarized,1.0352280826359388,446.52660499586943
polarized,1.0533048086875232,439.3662965655531
polarized,1.0716971830780824,432.3364887609517
polarized,1.0904107175287991,425.4350375555003
polarized,1.1094510200042598,418.65983647575786
polarized,1.128823796393017,412.0088159515235
polarized,1.1485348522174963,405.4799426766421
polarized,1.1685900943737644,399.0712189802891
polarized,1.1889955329016704,392.78068220852384
polarized,1.2097572827859029,386.6064041159067
polarized,1.2308815657884926,380.54649026697734
polarized,1.2523747123133138,374.59907944737625
polarized,1.2742431633031437,368.76234308441553
polarized,1.2964934721698471,363.03448467689094
polarized,1.3191323067582668,357.4137392339271
polarized,1.342166451344402,351.89837272265294
polarized,1.3656028086684835,346.4866815245058
polarized,1.3894484020035474,341.1769918999483
polarized,1.4137103772601272,335.9676594614022
polarized,1.4383960051277016,330.85706865418035
polarized,1.4635126832535312,325.8436322452155
polarized,1.4890679384595449,320.9257908193666
polarized,1.5150694289979314,316.10201228309654
polarized,1.5415249468461245,311.3707913752953
polarized,1.5684424200418552,306.73064918503894
polarized,1.595829915058981,302.1801326760559
polarized,1.6236956392248016,297.7178142176743
polarized,1.6520479431795825,293.3422911220286
polarized,1.6808953233790265,289.0521851872807
polarized,1.7102464246404454,284.846142246624
polarized,1.740110042733386,280.7228317228315
polarized,1.7704951270154978,276.68094618808595
polarized,1.8014107831144248,272.71920092885347
polarized,1.8328662756565268,268.8363335155337
polarized,1.8648710310432512,265.03110337661957
polarized,1.8974346402759803,261.3022913770979
polarized,1.9305668618302112,257.6486994008115
polarized,1.964277624579916,254.06914993649352
polarized,1.998577030772971,250.5624856671847
polarized,2.033475359058543,247.1275690627272
polarized,2.06898306756733,243.76328197503324
polarized,2.1051107970456027,240.4685252358018
polarized,2.1418693740439507,237.24221825636673
polarized,2.1792698141617324,234.08329862933877
polarized,2.217323325348158,230.99072173169705
polarized,2.2560413112610287,227.9634603289867
polarized,2.295435374684118,225.00050418025583
polarized,2.3355173210042244,222.1008596433739
polarized,2.376299161748947,219.26354928034945
polarized,2.4177931181862276,216.48761146227255
polarized,2.4600116249867514,213.77209997348984
polarized,2.5029673339502967,211.11608361461896
polarized,2.546673117797155,208.51864580400417
polarized,2.591142074025753,205.97888417720864
polarized,2.636387528837637,203.495910184137
polarized,2.68242304113099,201.06884868337872
polarized,2.729262406563888,198.696837533367
polarized,2.7769196616884995,196.37902717994345
polarized,2.8254090881574823,194.11458023992864
polarized,2.874745217003825,191.90267108029937
polarized,2.9249428329954266,189.7424853925916
polarized,2.976016979065706,187.6332197621488
polarized,3.0279829608215865,185.57408123185945
polarized,3.08085635113019,183.5642868600484
polarized,3.134652994785624,181.60306327220297
polarized,3.189389013257261,179.68964620625036
polarized,3.2450808095209256,177.8232800511369
polarized,3.301745072974444,176.00321737849632
polarized,3.3593987844390276,174.228718467243
polarized,3.418059221247992,172.4990508209806
polarized,3.4777439624243187,170.81348867817536
polarized,3.538470893948648,169.17131251511103
polarized,3.60025821411924,167.57180854172688
polarized,3.663124439005536,166.01426819051795
polarized,3.72708840799695,164.49798759878146
polarized,3.79216928944855,163.0222670845961
polarized,3.858386586425317,161.586410617041
polarized,3.9257601425467135,160.18972528129345
polarized,3.9943101479333056,158.8315207393815
polarized,4.064057145257223,157.5111086875287
polarized,4.135022035898269,156.22780231119077
polarized,4.207226086207523,154.980915739068
polarized,4.280690933880321,153.76976349757166
polarized,4.35543859444052,152.5936599674227
