architecture,n_binders,n_cleavers,K_D,K_C,diffusivity_shift,lower_interval,upper_interval,diffusivity_without_cleavage,diffusivity_with_cleavage,n_trajectories_with_cleavage,n_trajectories_without_cleavage,plotted_K_C
mixed,10,10.0,100.0,0.0,0.0,0.0,0.0,0.0518738537082953,0.0518738537082953,64,64,0.0
mixed,10,10.0,100.0,0.01,-7.447311776329069e-05,-0.0245951562765364,0.0259246735419956,0.0518738537082953,0.051799380590532,64,64,1.0
mixed,10,10.0,100.0,0.1,0.0268152397192255,0.0008344873090526,0.0502222037823384,0.0518738537082953,0.0786890934275208,64,64,2.0
mixed,10,10.0,100.0,1.0,0.0485060664983528,0.0025294369346678,0.0894534194790283,0.0518738537082953,0.1003799202066481,64,64,3.0
mixed,10,10.0,100.0,10.0,0.0411569409207823,0.0132795650891685,0.0715663772071049,0.0518738537082953,0.0930307946290776,64,64,4.0
polarized,10,10.0,100.0,0.0,0.0,0.0,0.0,0.0437624351266685,0.0437624351266685,64,64,0.0
polarized,10,10.0,100.0,0.01,0.0018587586348276,-0.0200676646890271,0.0217871355732163,0.0437624351266685,0.0456211937614962,64,64,1.0
polarized,10,10.0,100.0,0.1,0.0700520812997556,0.0318685425059739,0.1083686712942708,0.0437624351266685,0.1138145164264241,64,64,2.0
polarized,10,10.0,100.0,1.0,0.2467442894540148,0.1808957423124958,0.3244932441861272,0.0437624351266685,0.2905067245806834,64,64,3.0
polarized,10,10.0,100.0,10.0,0.5111450698175073,0.3729162947973394,0.6604018899430908,0.0437624351266685,0.5549075049441758,64,64,4.0
