architecture,n_binders,n_cleavers,K_D,mean_attachments,K_C_without_cleavage,K_C_with_cleavage,diffusivity_shift,lower_interval,upper_interval,diffusivity_without_cleavage,diffusivity_with_cleavage,n_trajectories_without_cleavage,n_trajectories_with_cleavage
mixed,4,16,10.0,1.4306810591259156,0.0,10.0,-0.0650864395495453,-0.0855530103887373,-0.0492188504728714,0.1628494257427976,0.0977629861932523,64,64
mixed,4,16,100.0,0.2109847944924854,0.0,10.0,-0.0032334246688705,-0.0064625718677191,-0.0003270680768224,0.0274022162866269,0.0241687916177564,64,64
mixed,4,16,500.0,0.0440559875963322,0.0,10.0,0.0012545431927034,-0.0003487596385293,0.003071408070879,0.0103563484322958,0.0116108916249993,64,64
mixed,10,10,1.0,8.477542533682303,0.0,10.0,0.1490735417257341,0.1362684186556383,0.1666856658662996,0.0112850875752084,0.1603586293009425,64,64
mixed,10,10,10.0,3.576702647814789,0.0,10.0,0.3098498711708457,0.2568018865558484,0.3591591976352255,0.1595972944113582,0.4694471655822039,64,64
mixed,10,10,100.0,0.5274619862312135,0.0,10.0,0.0411569409207823,0.0315600941079353,0.0518099267914554,0.0518738537082952,0.0930307946290776,64,64
mixed,10,10,500.0,0.1101399689908305,0.0,10.0,0.0100863130972268,0.0084808857308198,0.0120386942884445,0.0096249827642011,0.0197112958614279,64,64
mixed,16,4,10.0,5.722724236503662,0.0,10.0,0.1443877159619033,0.1170661551590098,0.1725160946636698,0.1398776409451413,0.2842653569070447,64,64
mixed,16,4,100.0,0.8439391779699416,0.0,10.0,0.0956441557991277,0.0787835129848668,0.1125367905514139,0.0679851218400486,0.1636292776391763,64,64
mixed,16,4,500.0,0.1762239503853288,0.0,10.0,0.0298295138875738,0.0266213878471373,0.0330613400385103,0.0098624736349037,0.0396919875224776,64,64
polarized,4,16,10.0,1.4306810591259156,0.0,10.0,0.7314413103853654,0.5953450595874532,0.8529319236441664,0.371208089538536,1.1026493999239015,64,64
polarized,4,16,100.0,0.2109847944924854,0.0,10.0,0.3733143810627334,0.3245241512163252,0.4032821412904463,0.0265432006375682,0.3998575817003016,64,64
polarized,4,16,500.0,0.0440559875963322,0.0,10.0,0.0882685507680035,0.0809069513859139,0.0987204515107663,0.0104218973654609,0.0986904481334645,64,64
polarized,10,10,1.0,8.477542533682303,0.0,10.0,0.0518971859839278,0.0472673868893871,0.0569005044741429,0.0108523891956307,0.0627495751795586,64,64
polarized,10,10,10.0,3.576702647814789,0.0,10.0,0.4547499179565391,0.3978210478315412,0.5168913339122709,0.135515253458689,0.5902651714152282,64,64
polarized,10,10,100.0,0.5274619862312135,0.0,10.0,0.5111450698175068,0.4535773891898438,0.5642825926346554,0.0437624351266685,0.5549075049441754,64,64
polarized,10,10,500.0,0.1101399689908305,0.0,10.0,0.1093222340195384,0.101193195767,0.1163754237216045,0.0092664523502985,0.118588686369837,64,64
polarized,16,4,10.0,5.722724236503662,0.0,10.0,0.0698908707521622,0.0404972754324043,0.0914797202890366,0.1187023789201578,0.18859324967232,64,64
polarized,16,4,100.0,0.8439391779699416,0.0,10.0,0.2174835014731427,0.1785205684538015,0.2455155495348041,0.0756827670795516,0.2931662685526944,64,64
polarized,16,4,500.0,0.1762239503853288,0.0,10.0,0.061419362807023,0.0523353835809351,0.0678129214456529,0.0112399355407938,0.0726592983478168,64,64
