architecture,K_D,K_C,n_binders,n_cleavers,mean_attachments,attachment_probability,speed,orientational_persistence_time,active_diffusivity,mobile_fraction,local_depletion_probability,receptor_contrast,persistence_length,diffusivity_shift
polarized,1778.2794100389228,10.0,4.0,16.0,0.012486106023742,0.0031215265059355,0.0025008892234772,1975.9909490962712,0.0041228585495539,1.0,1.0,1.0,4.94173447028348,0.0041228585495539
polarized,1669.8946588711192,10.0,4.0,16.0,0.0132938251467815,0.0033234562866953,0.0026629060468253,1972.823580818836,0.0046670966969153,1.0,1.0,1.0,5.253443842682108,0.0046670966969153
polarized,1568.115874245688,10.0,4.0,16.0,0.0141536096985577,0.0035384024246394,0.0028353955014873,1969.2454469832328,0.0052819917178182,1.0,1.0,1.0,5.583589681700618,0.0052819917178182
polarized,1472.5404276241222,10.0,4.0,16.0,0.0150687910497964,0.0037671977624491,0.0030190310475843,1965.2052282904751,0.0059763891877419,1.0,1.0,1.0,5.933015599084098,0.0059763891877419
polarized,1382.790230365145,10.0,4.0,16.0,0.0160429104233747,0.0040107276058436,0.0032145289150367,1960.64573088796,0.0067601516963228,1.0,1.0,1.0,6.302552394082729,0.0067601516963228
polarized,1298.51023803699,10.0,4.0,16.0,0.0170797316722013,0.0042699329180503,0.0034226507326432,1955.5033626029135,0.0076442507344975,1.0,1.0,1.0,6.693005016699218,0.0076442507344975
polarized,1219.3670458907095,10.0,4.0,16.0,0.0181832547758325,0.0045458136939581,0.0036442063038844,1949.707605254205,0.0086408596926309,1.0,1.0,1.0,7.105136745798803,0.0086408596926309
polarized,1145.0475699382812,10.0,4.0,16.0,0.0193577300881192,0.0048394325220298,0.0038800565349089,1943.180497855327,0.009763445517257,1.0,1.0,1.0,7.539650189211272,0.009763445517257
polarized,1075.257808417991,10.0,4.0,16.0,0.0206076733684559,0.0051519183421139,0.0041311165198065,1935.8361504742345,0.0110268557398836,1.0,1.0,1.0,7.99716470086277,0.0110268557398836
polarized,1009.72167874753,10.0,4.0,16.0,0.0219378816292584,0.0054844704073146,0.0043983587877558,1927.58031444898,0.0124473965905816,1.0,1.0,1.0,8.47818981516187,0.0124473965905816
polarized,948.1799253639082,10.0,4.0,16.0,0.0233534498321144,0.0058383624580286,0.0046828167159369,1918.310041611966,0.0140428967346325,1.0,1.0,1.0,8.983094329210292,0.0140428967346325
