architecture,K_D,K_C,n_binders,n_cleavers,receptor_contrast,locally_depleted_fraction,mobile_fraction,diffusivity_shift
polarized,100.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0
polarized,100.0,0.01,10.0,10.0,0.0529094083192224,0.0,1.0,0.0016901328130619
polarized,100.0,0.0108047182231812,10.0,10.0,0.0549659809381612,0.0,1.0,0.0018242746034731
polarized,100.0,0.0116741935882345,10.0,10.0,0.0571011977371983,0.0,1.0,0.0019689818611193
polarized,100.0,0.0126136372203744,10.0,10.0,0.0593179603439694,0.0,1.0,0.0021250766949909
polarized,100.0,0.0136286795935577,10.0,10.0,0.0616192686567612,0.0,1.0,0.0022934439264338
polarized,100.0,0.0147254042762412,10.0,10.0,0.0640082234157193,0.0,1.0,0.0024750357145554
polarized,100.0,0.0159103843927215,10.0,10.0,0.0664880287702819,0.0,1.0,0.0026708765024792
polarized,100.0,0.0171907220185857,10.0,10.0,0.0690619948341337,0.0,1.0,0.0028820683040318
polarized,100.0,0.0185740907463857,10.0,10.0,0.0717335402180606,0.0,1.0,0.0031097963512599
polarized,100.0,0.0200687816766496,10.0,10.0,0.0745061945298943,0.0,1.0,0.0033553351239779
polarized,100.0,0.0216837531098743,10.0,10.0,0.0773836008295334,0.0,1.0,0.0036200547833055
polarized,100.0,0.0234286842373223,10.0,10.0,0.0803695180256683,0.0,1.0,0.0039054280318659
polarized,100.0,0.0253140331524156,10.0,10.0,0.0834678231994131,0.0,1.0,0.004213037423951
polarized,100.0,0.027351099530412,10.0,10.0,0.0866825138383933,0.0,1.0,0.0045445831495188
polarized,100.0,0.0295520923520288,10.0,10.0,0.0900177099631385,0.0,1.0,0.0049018913163168
polarized,100.0,0.0319302030769102,10.0,10.0,0.0934776561257239,0.0,1.0,0.0052869227547292
polarized,100.0,0.0344996847054971,10.0,10.0,0.0970667232584839,0.0,1.0,0.00570178237007
polarized,100.0,0.0372759372031493,10.0,10.0,0.100789410348446,0.0,1.0,0.0061487290669564
polarized,100.0,0.0402755997985029,10.0,10.0,0.1046503459106001,0.0,1.0,0.0066301862700653
polarized,100.0,0.0435166507092441,10.0,10.0,0.1086542892300703,0.0,1.0,0.0071487530649988
polarized,100.0,0.0470185148929985,10.0,10.0,0.1128061313402751,0.0,1.0,0.0077072159820213
polarized,100.0,0.0508021804691302,10.0,10.0,0.1171108957197666,0.0,1.0,0.0083085614412119
polarized,100.0,0.0548903245092155,10.0,10.0,0.1215737385871619,0.0,1.0,0.0089559888904837
polarized,100.0,0.0593074489501055,10.0,10.0,0.1261999489322465,0.0,1.0,0.0096529246265635
polarized,100.0,0.06408002744416,10.0,10.0,0.1309949479962717,0.0,1.0,0.0104030363484042
polarized,100.0,0.0692366640267872,10.0,10.0,0.1359642883498781,0.0,1.0,0.0112102484231017
polarized,100.0,0.0748082645522508,10.0,10.0,0.1411136524096714,0.0,1.0,0.0120787578848119
polarized,100.0,0.0808282219252271,10.0,10.0,0.1464488503620306,0.0,1.0,0.0130130511614385
polarized,100.0,0.0873326162382843,10.0,10.0,0.1519758174232349,0.0,1.0,0.0140179215219681
polarized,100.0,0.0943604310147889,10.0,10.0,0.1577006103625666,0.0,1.0,0.0150984872284306
polarized,100.0,0.101953786853273,10.0,10.0,0.1636294032083943,0.0,1.0,0.0162602103665928
polarized,100.0,0.1101581938735899,10.0,10.0,0.1697684820499569,0.0,1.0,0.0175089163178759
polarized,100.0,0.1190228244778715,10.0,10.0,0.1761242388394986,0.0,1.0,0.0188508138214191
polarized,100.0,0.1286008080610566,10.0,10.0,0.182703164091127,0.0,1.0,0.0202925155592922
polarized,100.0,0.1389495494373137,10.0,10.0,0.1895118383631742,0.0,1.0,0.0218410591795061
polarized,100.0,0.1501310728908173,10.0,10.0,0.1965569224009066,0.0,1.0,0.0235039286501429
polarized,100.0,0.1622123939129172,10.0,10.0,0.2038451458054577,0.0,1.0,0.0252890758133898
polarized,100.0,0.1752659208536758,10.0,10.0,0.2113832940830595,0.0,1.0,0.0272049419800503
polarized,100.0,0.189369888895036,10.0,10.0,0.2191781939114038,0.0,1.0,0.0292604793741461
polarized,100.0,0.2046088289466012,10.0,10.0,0.2272366964811187,0.0,1.0,0.0314651721897318
polarized,100.0,0.2210740742743124,10.0,10.0,0.2355656586330603,0.0,1.0,0.0338290570170892
polarized,100.0,0.2388643078984598,10.0,10.0,0.2441719217404546,0.0,1.0,0.0363627422736886
polarized,100.0,0.2580861540418074,10.0,10.0,0.2530622879618768,0.0,1.0,0.0390774263138526
polarized,100.0,0.278854817172629,10.0,10.0,0.2622434937167014,0.0,1.0,0.0419849137559771
polarized,100.0,0.301294772472699,10.0,10.0,0.2717221800921885,0.0,1.0,0.0450976295344535
polarized,100.0,0.3255405118685032,10.0,10.0,0.2815048599046295,0.0,1.0,0.0484286300956203
polarized,100.0,0.351737350096938,10.0,10.0,0.2915978811090005,0.0,1.0,0.0519916110720477
polarized,100.0,0.3800422956365883,10.0,10.0,0.3020073862271788,0.0,1.0,0.0558009106727223
polarized,100.0,0.4106249917244298,10.0,10.0,0.3127392674376017,0.0,1.0,0.0598715079195158
polarized,100.0,0.4436687330978611,10.0,10.0,0.3237991169410513,0.0,1.0,0.0642190147412475
polarized,100.0,0.4793715645558216,10.0,10.0,0.3351921721897622,0.0,1.0,0.0688596608039577
polarized,100.0,0.517947467923121,10.0,10.0,0.3469232555268352,0.0,1.0,0.0738102698156608
polarized,100.0,0.5596276445319552,10.0,10.0,0.35899670776771,0.0,1.0,0.0790882258770891
polarized,100.0,0.6046619009070435,10.0,10.0,0.3714163151995246,0.0,1.0,0.0847114282884574
polarized,100.0,0.6533201459593774,10.0,10.0,0.3841852294570449,0.0,1.0,0.0906982330276964
polarized,100.0,0.7058940086618741,10.0,10.0,0.3973058796901786,0.0,1.0,0.0970673789203182
polarized,100.0,0.7626985859023444,10.0,10.0,0.4107798764060923,0.0,1.0,0.1038378963079982
polarized,100.0,0.8240743309893657,10.0,10.0,0.4246079063342207,0.0,1.0,0.1110289958017697
polarized,100.0,0.890389094129673,10.0,10.0,0.4387896176489437,0.0,1.0,0.1186599344642046
polarized,100.0,0.9620403271064756,10.0,10.0,0.4533234948029191,0.0,1.0,0.1267498565713305
polarized,100.0,1.0394574653722626,10.0,10.0,0.4682067223225611,0.0,1.0,0.135317605793627
polarized,100.0,1.1231045018329515,10.0,10.0,0.4834350367677834,0.0,1.0,0.144381505516277
polarized,100.0,1.213482767749143,10.0,10.0,0.499002566184224,0.0,1.0,0.1539591037413309
polarized,100.0,1.3111339374215645,10.0,10.0,0.5149016563479066,0.0,1.0,0.1640668788994679
polarized,100.0,1.4166432746690207,10.0,10.0,0.5311226832120831,0.0,1.0,0.1747199027599466
polarized,100.0,1.530643140556358,10.0,10.0,0.5476538509657685,0.0,1.0,0.1859314567111383
polarized,100.0,1.6538167833956732,10.0,10.0,0.5644809754803473,0.0,1.0,0.1977125975977682
polarized,100.0,1.7869024337358286,10.0,10.0,0.5815872528974538,0.0,1.0,0.2100716698145748
polarized,100.0,1.9306977288832496,10.0,10.0,0.59895301365096,0.0,1.0,0.2230137606586284
polarized,100.0,2.0860644934719565,10.0,10.0,0.616555462566319,0.0,1.0,0.2365400968427207
polarized,100.0,2.253933904734791,10.0,10.0,0.6343684063680979,0.0,1.0,0.2506473811956298
polarized,100.0,2.435312073433415,10.0,10.0,0.6523619707180006,0.0,1.0,0.2653270703374069
polarized,100.0,2.631286073895942,10.0,10.0,0.6705023101106858,0.0,1.0,0.280564596375489
polarized,100.0,2.8430304593026623,10.0,10.0,0.6887513154018404,0.0,1.0,0.2963385389026986
polarized,100.0,3.0718143012686965,10.0,10.0,0.7070663257413112,0.0,1.0,0.3126197577479354
polarized,100.0,3.319008795914677,10.0,10.0,0.725399854237206,0.0,1.0,0.3293705024247533
polarized,100.0,3.586095482011829,10.0,10.0,0.7436993399739904,0.0,1.0,0.3465435212635578
polarized,100.0,3.874675120456128,10.0,10.0,0.761906943200662,0.0,1.0,0.3640812021064631
polarized,100.0,4.186477288289951,10.0,10.0,0.7799594057650192,0.0,1.0,0.3819147874703891
polarized,100.0,4.523370744772101,10.0,10.0,0.7977880053488188,0.0,1.0,0.3999637204615691
polarized,100.0,4.887374631624422,10.0,10.0,0.815318639845939,0.0,1.0,0.4181351935141053
polarized,100.0,5.280670574582637,10.0,10.0,0.8324720872860281,0.0,1.0,0.4363239899340022
polarized,100.0,5.705615758781021,10.0,10.0,0.8491644966567606,0.0,1.0,0.4544127276312574
polarized,100.0,6.164757056337161,10.0,10.0,0.8653081752026044,0.0,1.0,0.4722726331880593
polarized,100.0,6.660846290809154,10.0,10.0,0.8808127464803825,0.0,1.0,0.4897649902195694
polarized,100.0,7.196856730011521,10.0,10.0,0.8955867582818934,0.0,1.0,0.5067434132007925
polarized,100.0,7.7760009060380355,10.0,10.0,0.9095398161857482,0.0,1.0,0.5230570896575848
polarized,100.0,8.401749869294335,10.0,10.0,0.922585301127582,0.0,1.0,0.5385550997100882
polarized,100.0,9.077853991937548,10.0,10.0,0.9346436904037956,0.0,1.0,0.5530918503727521
polarized,100.0,9.80836544540667,10.0,10.0,0.9456464328200463,0.0,1.0,0.5665335405569396
polarized,100.0,10.0,10.0,10.0,0.9482255288461362,0.0,1.0,0.5697088837898752
mixed,100.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0
mixed,100.0,0.01,10.0,10.0,0.0031676504485169,0.0,1.0,0.0003296268365329
mixed,100.0,0.0108047182231812,10.0,10.0,0.0032926619591897,0.0,1.0,0.000355810587422
mixed,100.0,0.0116741935882345,10.0,10.0,0.0034226080514034,0.0,1.0,0.0003840601060269
mixed,100.0,0.0126136372203744,10.0,10.0,0.0035576835887537,0.0,1.0,0.0004145366776693
mixed,100.0,0.0136286795935577,10.0,10.0,0.0036980911364712,1.1102230246251563e-16,1.0,0.0004474139785475
mixed,100.0,0.0147254042762412,10.0,10.0,0.0038440412663446,3.3306690738754696e-16,0.9999999999999996,0.0004828790039171
mixed,100.0,0.0159103843927215,10.0,10.0,0.003995752873785,1.3322676295501878e-15,0.9999999999999988,0.0005211330630204
mixed,100.0,0.0171907220185857,10.0,10.0,0.0041534535074749,4.6629367034256575e-15,0.9999999999999952,0.0005623928452594
mixed,100.0,0.0185740907463857,10.0,10.0,0.0043173797121247,1.554312234475219e-14,0.9999999999999843,0.0006068915623521
mixed,100.0,0.0200687816766496,10.0,10.0,0.0044877773848908,4.8849813083506894e-14,0.9999999999999512,0.0006548801714864
mixed,100.0,0.0216837531098743,10.0,10.0,0.0046649021459371,1.482147737874584e-13,0.9999999999998518,0.0007066286847989
mixed,100.0,0.0234286842373223,10.0,10.0,0.0048490197237754,4.322098234865735e-13,0.9999999999995678,0.0007624275707664
mixed,100.0,0.0253140331524156,10.0,10.0,0.0050404063559362,1.2136958105202213e-12,0.9999999999987864,0.0008225892534389
mixed,100.0,0.027351099530412,10.0,10.0,0.0052393492056037,3.287481398217551e-12,0.9999999999967124,0.0008874497157434
mixed,100.0,0.0295520923520288,10.0,10.0,0.0054461467948657,8.599676526444e-12,0.9999999999914004,0.0009573702134163
mixed,100.0,0.0319302030769102,10.0,10.0,0.0056611094552129,2.1755375279042255e-11,0.9999999999782446,0.0010327391064711
