architecture,K_D,K_C,n_binders,n_cleavers,mean_attachments,attachment_probability,probability_of_at_least_one_attachment,relative_mobility,attachment_lifetime,attachment_friction
polarized,1778.2794100389228,10.0,4.0,16.0,0.012486106023742,0.0031215265059355,0.0124277640261492,0.9999049699109052,0.0007611590073821,9.50391206709929e-06
polarized,1669.8946588711192,10.0,4.0,16.0,0.0132938251467815,0.0033234562866953,0.0132276996897511,0.9998922568960448,0.0008105621413917,1.0775471378263143e-05
polarized,1568.115874245688,10.0,4.0,16.0,0.0141536096985577,0.0035384024246394,0.0140786649988101,0.9998778449570872,0.0008631717928653,1.2216996659020562e-05
polarized,1472.5404276241222,10.0,4.0,16.0,0.0150687910497964,0.0037671977624491,0.0149838540274537,0.9998615074460186,0.0009191960812764,1.3851173682546894e-05
polarized,1382.790230365145,10.0,4.0,16.0,0.0160429104233747,0.0040107276058436,0.0159466526142767,0.999842987563791,0.0009788566341229,1.5703709298559966e-05
polarized,1298.51023803699,10.0,4.0,16.0,0.0170797316722013,0.0042699329180503,0.0169706487802907,0.9998219943682728,0.0010423894636668,1.7803732337359482e-05
polarized,1219.3670458907095,10.0,4.0,16.0,0.0181832547758325,0.0045458136939581,0.0180596435624256,0.9997981982579318,0.0011100459005799,2.018424742311381e-05
polarized,1145.0475699382812,10.0,4.0,16.0,0.0193577300881192,0.0048394325220298,0.0192176622569185,0.9997712258633916,0.0011820935881871,2.2882648619022416e-05
polarized,1075.257808417991,10.0,4.0,16.0,0.0206076733684559,0.0051519183421139,0.0204489660626193,0.9997406542704518,0.0012588175412413,2.5941300720384044e-05
polarized,1009.72167874753,10.0,4.0,16.0,0.0219378816292584,0.0054844704073146,0.0217580641092548,0.9997060044886016,0.0013405212734188,2.9408197017765895e-05
polarized,948.1799253639082,10.0,4.0,16.0,0.0233534498321144,0.0058383624580286,0.0231497258498902,0.9996667340683572,0.0014275279979944,3.333770348510235e-05
polarized,890.3890941296735,10.0,4.0,16.0,0.0248597884645705,0.0062149471161426,0.0246289937901388,0.999622228758824,0.0015201819064465,3.779140062192904e-05
polarized,836.1205692482771,10.0,4.0,16.0,0.0264626420286979,0.0066156605071744,0.0262011965189731,0.9995717930835928,0.0016188495300506,4.283903561205681e-05
polarized,785.159668878704,10.0,4.0,16.0,0.0281681084713543,0.0070420271178385,0.0278719619972113,0.9995146396983,0.001723921189847,4.8559599071677336e-05
polarized,737.3047958716827,10.0,4.0,16.0,0.0299826595843695,0.0074956648960923,0.0296472310497047,0.9994498773767876,0.0018358125407186,5.504254246908517e-05
polarized,692.3666402678728,10.0,4.0,16.0,0.031913162400654,0.0079782906001635,0.0315332709959149,0.9993764974546748,0.0019549662156882,6.238915432905129e-05
polarized,650.1674304031648,10.0,4.0,16.0,0.033966901609383,0.0084917254023457,0.0335366893406697,0.9992933585391296,0.0020818535769377,7.071411561298765e-05
polarized,610.5402296585327,10.0,4.0,16.0,0.036151603009848,0.009037900752462,0.0356644474324489,0.9991991692716676,0.002216976580479,8.01472572196095e-05
polarized,573.3282760724394,10.0,4.0,16.0,0.0384754580192037,0.0096188645048009,0.0379238739802663,0.9990924689067096,0.0023608697618504,9.083554541088474e-05
polarized,538.3843622033489,10.0,4.0,16.0,0.0409471492440454,0.0102367873110113,0.0403226783020818,0.9989716054424236,0.0025141023506957,0.0001029453241687
polarized,505.570252789143,10.0,4.0,16.0,0.0435758771194248,0.0108939692798562,0.0428689631574378,0.9988347110119496,0.0026772805225899,0.0001166648470666
polarized,474.7561378997421,10.0,4.0,16.0,0.0463713876113961,0.011592846902849,0.0455712369946166,0.9986796742125292,0.0028510497970204,0.000132207135237
polarized,445.8201194196514,10.0,4.0,16.0,0.0493440009703568,0.0123360002425892,0.0484384254178354,0.9985041090174182,0.0030360975910088,0.0001498132024768
polarized,418.6477288289951,10.0,4.0,16.0,0.0525046415121239,0.0131261603780309,0.0514798816528072,0.9983053198809636,0.0032331559384767,0.0001697556935025
polarized,393.1314743754256,10.0,4.0,16.0,0.0558648683917097,0.0139662170979274,0.0547053957592081,0.998080262611212,0.003443004386112,0.0001923429869022
polarized,369.1704158455517,10.0,4.0,16.0,0.0594369073209443,0.014859226830236,0.0581252023061997,0.9978255005474458,0.0036664730771914,0.0002179238204837
polarized,346.66976525371945,10.0,4.0,16.0,0.0632336831652207,0.0158084207913051,0.061749986192081,0.997537155542856,0.0039044460355596,0.0002468925035482
polarized,325.5405118685032,10.0,4.0,16.0,0.067268853336521,0.0168172133341302,0.0655908862514215,0.9972108532162692,0.0041578646627551,0.0002796947881919
polarized,305.6990700935378,10.0,4.0,16.0,0.0715568418792779,0.0178892104698194,0.0696594962527319,0.9968416619029038,0.0044277314621176,0.0003168344801186
polarized,287.0669488097448,10.0,4.0,16.0,0.0761128741223118,0.0190282185305779,0.0739678628470144,0.9964240247045112,0.0047151140046092,0.0003588808787051
polarized,269.57044087089156,10.0,4.0,16.0,0.0809530117438122,0.020238252935953,0.0785284799826612,0.9959516840165584,0.0050211491520375,0.0004064771462723
polarized,253.1403315241567,10.0,4.0,16.0,0.0860941880668662,0.0215235470167165,0.0833542792555087,0.9954175978976444,0.0053470475543882,0.0004603497177499
polarized,237.7116246022335,10.0,4.0,16.0,0.0915542433701231,0.0228885608425307,0.0884586156149508,0.9948138476484282,0.0056940984390569,0.0005213188742628
polarized,223.22328540381503,10.0,4.0,16.0,0.0973519599615877,0.0243379899903969,0.0938552477985147,0.9941315359893664,0.0060636747109275,0.0005903106176783
polarized,209.61799924531277,10.0,4.0,16.0,0.1035070967230327,0.0258767741807581,0.0995583128191603,0.993360675275308,0.0064572383834712,0.0006683699979216
polarized,196.84194472866113,10.0,4.0,16.0,0.1100404227878973,0.0275101056969743,0.1055822937828568,0.9924900652688112,0.0068763463623522,0.0007566760609492
polarized,184.8445808282741,10.0,4.0,16.0,0.116973749966631,0.0292434374916577,0.1119419802701424,0.9915071601232128,0.0073226566044192,0.0008565586027368
polarized,173.5784469548853,10.0,4.0,16.0,0.124329963480112,0.031082490870028,0.118652420476075,0.9903979244133548,0.0077979346764467,0.0009695169335429
polarized,162.99897520534324,10.0,4.0,16.0,0.1321330505039452,0.0330332626259863,0.1257288642702496,0.9891466783111936,0.0083040607395726,0.0010972408770897
polarized,153.06431405563595,10.0,4.0,16.0,0.1404081259641376,0.0351020314910344,0.1331866963148316,0.9877359323526486,0.008843036987062,0.0012416342511849
polarized,143.73516279968806,10.0,4.0,16.0,0.1491814549579574,0.0372953637394893,0.1410413583665722,0.9861462127009174,0.0094169955648195,0.0014048410996924
polarized,134.97461607898632,10.0,4.0,16.0,0.1584804711029189,0.0396201177757297,0.1493082598918138,0.9843558784026616,0.0100282070059838,0.0015892749706259
polarized,126.74801788800204,10.0,4.0,16.0,0.1683337900421857,0.0420834475105464,0.1580026761451376,0.9823409328816046,0.0106790892129714,0.0017976515614181
polarized,119.02282447787157,10.0,4.0,16.0,0.1787712172567723,0.044692804314193,0.1671396329066607,0.9800748328452864,0.0113722170224999,0.0020330250800205
polarized,111.76847561598989,10.0,4.0,16.0,0.1898237492545176,0.0474559373136294,0.1767337771445111,0.9775282989210154,0.0121103323914317,0.00229882869926
polarized,104.95627369223337,10.0,4.0,16.0,0.2015235671238838,0.0503808917809709,0.186799232972462,0.9746691337103288,0.0128963552437307,0.0025989195116134
polarized,98.55927019356292,10.0,4.0,16.0,0.2139040213584937,0.0534760053396234,0.1973494424132639,0.9714620545759176,0.0137333950214424,0.0029376284219912
polarized,92.55215909791352,10.0,4.0,16.0,0.2269996067775295,0.0567499016943823,0.2083969906609627,0.9678685503594924,0.0146247629853919,0.0033198154468985
polarized,86.9111767656428,10.0,4.0,16.0,0.240845926289656,0.060211481572414,0.219953415765756,0.9638467733657072,0.0155739853142611,0.0037509309190347
polarized,81.6140079325183,10.0,4.0,16.0,0.2554796421763287,0.0638699105440821,0.2320290029475381,0.9593514803043812,0.0165848170538621,0.0042370831264805
polarized,76.63969743235928,10.0,4.0,16.0,0.2709384135069843,0.067734603376746,0.2446325640836942,0.954334038395206,0.0176612569717918,0.0047851129444764
polarized,71.96856730011521,10.0,4.0,16.0,0.2872608182469212,0.0718152045617303,0.2577712033163833,0.9487425153950012,0.0188075633762283,0.0054026760446861
polarized,67.58213892744703,10.0,4.0,16.0,0.3044862585823671,0.0761215646455917,0.2714500701866734,0.9425218747385604,0.02002827096145,0.0060983332909258
polarized,63.46305996286578,10.0,4.0,16.0,0.3226548479704715,0.0806637119926178,0.2856721022278607,0.9356142990510448,0.0213282087467147,0.0068816499506537
polarized,59.59503566725067,10.0,4.0,16.0,0.3418072784294242,0.085451819607356,0.300437759536072,0.9279596666730888,0.022712519179464,0.0077633043670086
polarized,55.962764453195526,10.0,4.0,16.0,0.3619846666206391,0.0904961666551597,0.315744754477882,0.9194962061343184,0.024186678478425,0.0087552067456732
polarized,52.55187735318167,10.0,4.0,16.0,0.3832283773464283,0.095807094336607,0.331587780383544,0.9101613522312618,0.0257565182970827,0.0098706287130846
polarized,49.34888117711905,10.0,4.0,16.0,0.4055798231985154,0.1013949557996288,0.3479582437977608,0.899892823965297,0.027428248793224,0.0111243442962007
polarized,46.34110513439105,10.0,4.0,16.0,0.4290802392509611,0.1072700598127402,0.3648440056000218,0.8886299385085401,0.0292084831958132,0.0125327829578172
polarized,43.51665070924416,10.0,4.0,16.0,0.4537704319013952,0.1134426079753488,0.3822291370405168,0.8763151660699381,0.0311042639663842,0.0141141952940011
polarized,40.86434459123405,10.0,4.0,16.0,0.4796905012323493,0.1199226253080873,0.400093697436914,0.8628959176518921,0.0331230906584423,0.0158888319603127
polarized,38.373694474524115,10.0,4.0,16.0,0.5068795365949753,0.1267198841487438,0.4184135409077345,0.8483265411068831,0.0352729495850831,0.0178791363400248
polarized,36.03484755118287,10.0,4.0,16.0,0.5353752855144679,0.1338438213786169,0.4371601600400824,0.832570480919323,0.0375623454121937,0.0201099513996462
polarized,33.83855153428233,10.0,4.0,16.0,0.5652137964829402,0.141303449120735,0.4563005747589427,0.815602534595902,0.0400003348022142,0.0226087410941481
polarized,31.776118056608645,10.0,4.0,16.0,0.596429036742263,0.1491072591855657,0.4757972748345889,0.7974111149549671,0.0425965622415532,0.0254058265862614
polarized,29.83938830019264,10.0,4.0,16.0,0.6290524867653968,0.1572631216913492,0.4956082243847139,0.7780004051695957,0.045361298193386,0.0285346374314562
polarized,28.020700720694048,10.0,4.0,16.0,0.663112713816142,0.1657781784540355,0.5156869363505281,0.7573922749719384,0.0483054797267663,0.0320319777538066
polarized,26.312860738959433,10.0,4.0,16.0,0.6986349276970933,0.1746587319242733,0.5359826242070402,0.7356278151935679,0.0514407537827755,0.0359383072997133
polarized,24.709112279856043,10.0,4.0,16.0,0.7356405225733783,0.1839101306433445,0.5564404370705833,0.7127683470170297,0.0547795232488683,0.040298037109118
polarized,23.203111045791875,10.0,4.0,16.0,0.7741466095710378,0.1935366523927594,0.5770017828665708,0.6888957746129236,0.0583349960236799,0.0451598393910718
polarized,21.78889941919376,10.0,4.0,16.0,0.8141655456751237,0.2035413864187809,0.5976047423089714,0.6641121767247149,0.0621212372663914,0.0505769710370053
polarized,20.46088289466012,10.0,4.0,16.0,0.8557044652708743,0.2139261163177185,0.6181845741318059,0.638538573980568,0.0661532250373479,0.0566076100565276
polarized,19.213807947555622,10.0,4.0,16.0,0.8987648214548392,0.2246912053637098,0.6386743093381677,0.6123128618735136,0.0704469095500391,0.0633152040837861
polarized,18.042741251497876,10.0,4.0,16.0,0.9433419449609468,0.2358354862402367,0.6590054292569061,0.5855869599199054,0.0750192762688377,0.0707688299850079
polarized,16.943050162522237,10.0,4.0,16.0,0.9894246291656652,0.2473561572914163,0.6791086190128803,0.5585232891962011,0.0798884131021056,0.0790435635081843
polarized,15.910384392721523,10.0,4.0,16.0,1.0369947501210584,0.2592486875302646,0.6989145847433844,0.5312907460705559,0.0850735819564786,0.0882208578628619
polarized,14.940658800863334,10.0,4.0,16.0,1.0860269308784225,0.2715067327196056,0.7183549196761463,0.5040603825233386,0.0905952949353919,0.0983889301107092
polarized,14.030037231905734,10.0,4.0,16.0,1.1364882594731456,0.2841220648682864,0.7373630011885797,0.4770010274668471,0.0964753954832817,0.1096431542947782
polarized,13.17491734148208,10.0,4.0,16.0,1.1883380698110535,0.2970845174527634,0.7558748983710013,0.4502750858584882,0.1027371447964628,0.1220864603453273
polarized,12.371916345321608,10.0,4.0,16.0,1.241527794300567,0.3103819485751417,0.773830267597378,0.4240347330947057,0.1094053138425167,0.1358297379796611
polarized,11.617857637231843,10.0,4.0,16.0,1.296000896393231,0.3240002240983077,0.7911732123338728,0.3984186841029454,0.1165062813522116,0.1509922450679082
